CouchBase,Memcached,Mongo,Orient,Redis,Riak
360,20,5120,23110,40,23410,
710,10,8230,11920,20,25960,
430,60,3790,11080,70,21120,
540,0,5290,13880,30,21770,
310,20,3270,12920,30,21210,
670,10,4240,9790,160,19220,
700,30,5390,6810,90,20340,
530,70,4980,6080,70,22160,
530,40,7300,9360,40,18570,
340,50,4390,10830,70,22080,
790,0,4190,17070,120,19460,
580,0,5720,12900,70,28440,
480,0,5240,10910,20,19500,
380,0,5380,12880,40,22580,
600,20,5750,9260,50,19380,
570,0,5000,10790,140,18720,
530,10,5840,11880,60,21100,
630,0,8370,12680,50,19040,
430,0,4460,18100,10,26380,
380,0,3990,11980,60,21160,
440,0,4700,23570,70,27160,
480,0,4010,14040,70,29170,
380,0,5360,8740,60,30080,
550,0,5650,6220,40,29540,
600,10,5670,8330,40,31780,
680,60,6640,3440,20,26910,
580,10,6270,2460,40,28180,
700,0,4150,2860,20,25300,
560,10,4040,3460,30,29360,
550,20,5930,8440,40,29960,
380,60,3890,3370,20,30550,
600,10,4560,4490,90,26620,
640,0,4620,3900,50,25130,
590,0,5360,3650,30,25470,
690,30,3350,1760,60,27310,
590,0,4230,1990,60,23830,
570,0,4210,2140,0,26360,
430,0,6070,2540,40,28930,
350,0,5350,2880,30,27200,
420,20,5240,7820,160,25150,
560,10,4310,7930,70,24810,
810,10,3950,8410,60,24200,
550,0,4770,8960,50,26160,
650,10,4300,9080,150,26210,
500,10,4460,9270,50,23910,
530,10,4830,12090,80,30470,
590,0,5150,10200,180,23890,
610,30,5350,9140,50,25410,
640,0,5240,10580,20,25550,
430,20,6080,17580,90,23700,
250,10,4820,12280,20,25220,
330,10,4940,6030,10,27740,
600,20,4040,5200,30,24750,
330,20,4160,2530,100,25640,
550,0,6060,2410,70,24810,
460,0,4770,2110,10,26790,
670,90,3720,4220,50,22680,
560,20,4610,2380,50,27440,
640,10,6100,2480,10,24940,
680,10,7320,3470,20,25750,
490,0,4310,1940,20,24120,
560,0,5020,2710,30,23650,
680,10,4940,4020,50,45170,
530,0,4880,3510,30,42790,
680,70,5460,4720,60,41330,
500,20,5340,3800,0,32480,
390,20,3860,2200,10,36020,
540,10,5850,2160,30,55340,
580,40,4980,2730,90,41110,
410,0,4610,2220,10,26730,
540,20,3790,1960,80,27690,
700,10,3860,3210,10,27070,
590,20,3350,2910,90,27000,
440,0,4290,2970,50,26480,
480,10,3980,3180,60,27670,
430,0,5130,2180,70,28970,
460,10,3970,1750,150,25860,
450,0,3870,3250,100,26020,
690,0,4210,2860,40,27540,
700,10,4730,2170,120,26560,
500,0,3570,3110,30,28400,
530,30,3690,2080,30,29660,
660,0,2720,2620,70,27450,
620,10,3110,3680,20,24920,
480,20,3810,6120,40,24890,
690,30,3680,6110,40,25430,
610,30,3240,2530,10,25390,
370,40,2430,1940,20,26450,
430,10,2510,2210,10,25230,
770,40,2680,6330,70,28640,
400,50,2730,8170,100,26390,
410,40,3150,9940,70,29620,
470,0,3330,11680,10,29690,
530,10,5030,9210,0,24830,
750,10,4470,4410,40,25460,
640,30,3580,2910,50,25330,
630,10,2250,1980,20,25230,
520,20,5460,5250,40,28590,
500,0,4150,4180,30,24240,
480,0,3520,6070,10,25930,
440,10,2730,3280,20,28400,
360,40,2630,2360,100,25210,
560,20,2390,2100,0,26850,
600,0,2950,1990,20,25750,
580,30,4950,2130,10,24480,
650,0,3070,3220,90,26980,
640,60,3860,1330,30,26860,
600,0,1300,2580,50,32990,
530,20,3240,3540,60,30030,
400,10,3450,1990,30,30930,
290,0,4010,1830,60,27740,
540,0,3280,1640,40,24410,
630,10,2200,1720,80,26370,
570,20,2620,2070,130,30630,
360,0,4390,2080,110,27510,
590,10,3010,1960,30,26550,
550,0,4810,1840,140,24070,
420,20,8910,2000,90,23920,
700,10,8480,1450,40,25450,
370,10,10170,2090,40,26410,
700,0,10710,2770,10,25520,
720,10,10640,3990,10,27270,
620,20,9140,4650,10,25890,
650,20,9540,2260,20,26300,
790,90,13790,1700,60,29360,
650,20,10400,1330,90,27190,
600,0,9260,2070,70,25510,
560,30,8620,1530,80,24140,
630,40,8340,2390,10,24810,
670,20,7830,3880,20,24580,
410,0,9220,2080,70,33150,
480,0,7590,1650,40,25870,
400,20,16760,1330,50,30330,
400,0,22650,2220,40,27240,
490,30,17280,1870,70,27420,
390,30,8350,2060,10,26010,
880,70,7020,1960,20,27960,
380,0,7580,1750,0,26980,
650,0,8190,2040,50,29340,
670,0,6740,2800,40,27000,
500,10,6860,1910,70,26020,
660,20,8250,1940,50,32260,
400,40,5590,1730,70,31190,
360,20,4870,1520,20,24810,
250,0,4850,2140,60,24020,
540,30,6510,1670,60,28730,
560,20,5820,3070,10,26760,
580,10,6420,3880,30,27910,
520,20,5900,3550,70,31950,
700,10,6740,1750,40,29110,
340,20,7040,1810,80,41890,
310,10,5600,2570,10,29670,
540,0,5400,2240,10,31610,
510,20,6290,1860,80,33330,
450,10,6180,3770,0,26410,
590,30,5250,2410,10,27750,
540,10,5720,1560,10,31500,
400,30,5470,1690,10,27590,
550,10,3840,1960,0,33340,
610,0,5470,1940,20,31230,
460,10,4740,6510,30,32100,
380,10,4640,4040,60,33480,
550,0,4080,1810,60,26820,
750,30,3250,2290,10,35890,
620,30,2970,2300,60,25650,
610,20,4490,2370,30,30520,
400,10,3190,2420,90,34680,
500,20,3330,2070,50,29580,
690,10,5090,1710,30,25160,
740,0,3560,2640,60,24500,
690,40,3280,1740,0,28970,
420,20,4930,1490,0,26990,
580,40,2820,3090,10,26180,
340,0,4060,3490,20,22680,
660,0,3830,3600,30,26350,
610,30,4510,2160,80,28830,
420,20,2870,2020,20,28860,
350,0,4140,1910,120,23870,
560,0,3540,2160,60,25100,
790,30,2440,3340,40,24780,
410,10,4590,3860,90,23250,
420,30,3720,2120,30,25760,
660,0,4700,2170,110,23640,
770,90,2930,2990,60,24900,
530,10,3200,3260,30,25520,
340,50,4460,4370,0,25260,
660,10,3620,3390,20,23460,
530,10,5070,2680,30,30880,
740,0,4620,1720,10,29260,
480,10,920,1370,10,25850,
290,10,2990,2800,10,25610,
470,20,3180,1720,10,25100,
570,0,4610,2870,40,24030,
570,0,3040,2460,70,28620,
640,0,4970,3750,20,24490,
490,0,3780,4490,20,23350,
280,0,2730,9090,110,28670,
270,0,2540,9190,40,26420,
1070,0,3370,3110,20,25960,
640,10,3240,7660,10,25850,
520,0,3550,5920,30,24580,
420,0,3950,5580,20,27920,
660,0,2310,2570,30,27800,
480,50,3090,4460,50,29890,
480,40,3110,3600,30,25350,
650,40,3220,4350,0,26850,
590,10,1680,9090,10,24780,
530,50,3840,2570,50,26330,
560,0,2920,2820,30,23160,
560,10,3980,2730,30,22600,
530,20,3110,2770,10,34060,
790,20,2950,5370,120,24410,
740,10,3220,11790,10,25750,
820,20,5120,6510,20,27130,
390,40,4880,6530,30,25270,
620,10,3890,5340,40,24580,
420,20,3510,5730,30,22720,
530,40,3000,5820,10,24640,
500,10,3300,2460,0,27530,
570,0,3380,2640,70,23310,
720,0,3410,3000,60,24270,
690,30,3290,2910,20,26750,
500,20,2930,4400,40,28200,
530,50,2230,3450,160,23840,
470,0,2810,2650,50,25140,
510,40,4130,3450,30,23980,
490,40,2070,3610,40,22810,
440,50,4370,4600,50,25900,
490,30,3030,2790,60,23830,
580,50,2070,3760,0,24410,
720,10,3470,2370,50,24340,
510,10,1890,2870,30,20320,
730,0,7160,4440,40,23090,
390,10,2410,4620,30,28790,
480,30,3050,3010,40,26570,
490,10,3540,2890,60,34030,
530,20,3080,2200,30,26480,
760,0,3530,3910,50,30280,
630,10,3120,2640,60,35160,
690,10,3320,3600,50,28080,
520,20,3830,6070,0,29450,
440,20,3110,3490,90,27260,
600,50,3780,3840,80,26040,
460,40,2940,3690,40,28630,
980,10,3860,2970,30,33540,
470,0,2960,2380,10,25500,
490,20,2120,2640,110,25120,
410,0,3600,3450,40,26370,
550,10,3250,3330,40,25250,
600,10,3500,2400,110,25370,
650,10,3340,3390,50,25430,
420,90,2530,3170,30,25870,
700,10,3510,5370,10,24920,
890,20,3760,3410,120,31510,
690,0,3430,5730,60,30460,
530,50,4170,1960,0,26360,
540,20,4310,3070,80,27770,
590,10,3630,13520,50,23980,
470,10,3790,3320,20,26390,
610,0,2680,3310,20,26700,
560,10,4230,3690,40,26620,
600,10,2490,2780,30,29280,
660,20,3490,2690,0,25800,
470,30,3350,6070,50,24980,
290,30,3530,6540,60,27380,
500,30,2680,13110,30,27400,
550,20,1650,9410,40,31500,
490,0,3050,13370,60,29820,
740,0,2800,14680,40,42800,
530,0,4180,6310,10,45360,
550,10,3390,4820,10,43730,
490,10,3210,4980,30,50830,
630,20,3380,2870,10,43600,
440,10,3670,3190,40,29530,
430,20,3390,3230,30,26250,
900,30,2830,4820,50,25320,
960,10,2380,3170,10,25970,
860,10,3430,3210,20,25250,
480,0,2300,2240,20,25490,
490,10,3470,2540,100,25970,
610,0,3610,2770,10,25120,
570,30,2710,2250,120,23340,
430,50,3070,2260,80,26650,
430,20,4490,3460,70,26370,
370,0,3520,2120,60,40920,
410,40,2800,2470,10,38320,
370,10,2890,4180,30,40650,
400,10,4850,2460,50,36530,
400,0,3060,2360,70,33370,
470,40,5430,2000,10,28010,
420,0,3690,2430,40,25240,
570,0,2260,1980,190,26150,
510,0,3750,2160,10,26580,
400,10,2780,1750,50,25220,
480,20,3490,2830,40,24380,
550,10,2290,3320,30,27160,
350,10,4380,2760,10,25000,
310,0,6020,2850,0,24470,
440,70,3510,2240,210,35790,
320,10,3030,3220,30,43030,
780,20,2790,2090,80,30820,
660,20,3610,3420,50,25920,
470,70,3140,2470,70,26650,
680,10,3820,2180,20,29340,
430,20,2150,2880,40,27890,
510,0,1600,2120,20,23810,
790,50,2750,2080,40,28120,
530,40,4920,3330,40,26310,
800,10,3210,1830,30,23230,
570,0,3670,1890,20,25550,
390,30,3670,1830,30,26330,
590,10,4220,2730,40,26390,
630,0,2980,1920,20,26440,
380,10,3380,1750,120,29390,
350,10,2460,1400,70,30980,
440,0,2650,5050,30,25300,
580,40,4360,2030,30,28310,
330,20,4840,2920,20,25600,
410,10,2540,3710,20,28490,
340,0,2660,1880,110,24620,
550,0,2970,2100,50,30760,
490,50,2500,2250,70,25620,
610,10,3220,2420,20,24350,
430,30,2640,3640,30,27880,
470,10,2590,2440,40,24880,
540,10,3540,1730,80,26040,
560,60,4990,1710,70,28940,
410,10,4190,4540,10,30500,
480,10,2730,2450,70,27530,
380,10,3810,2880,100,27150,
370,10,4650,1970,80,31550,
390,30,2580,1600,30,27790,
380,30,4550,3080,100,25980,
590,10,3310,1970,90,28180,
460,10,2910,2220,10,27580,
660,10,3750,2320,70,24770,
650,50,3400,1810,60,29500,
420,0,3570,2730,30,24750,
420,10,4590,1950,20,26980,
640,20,3540,1590,10,25830,
530,10,3510,2050,90,27010,
490,10,2900,1920,30,27550,
440,0,3170,2160,20,23520,
340,30,3610,2020,20,26780,
460,20,1890,2130,20,26470,
440,0,3270,1690,30,23760,
520,20,4640,1710,50,25100,
400,20,2410,1670,30,30370,
420,10,3870,1750,40,27260,
490,0,2570,1310,40,27140,
600,0,2270,4990,170,24170,
600,10,2200,1890,80,24380,
490,0,2170,1810,30,24450,
580,10,3000,1750,30,28660,
870,20,2950,2020,40,23750,
860,0,2760,2060,60,27560,
870,10,3840,2130,10,25480,
750,40,2300,3160,10,26960,
1490,30,3290,2840,90,27560,
1070,10,1640,1900,190,30730,
1080,20,3630,2030,50,31130,
1250,10,2380,1960,50,26570,
820,0,5070,1720,30,27900,
920,20,7090,1490,130,30310,
760,30,8280,1700,30,24540,
340,10,8090,2390,70,27260,
810,20,9550,1750,80,25390,
600,0,11230,1850,60,27280,
370,20,9370,1900,30,26770,
800,0,11370,1710,70,27410,
970,10,8730,1540,10,32260,
800,40,8960,1580,70,24820,
880,40,13410,2260,30,26000,
950,10,7530,2600,50,26170,
960,10,5810,2090,10,24510,
1150,0,8690,1690,0,27300,
990,10,8140,2550,60,26570,
1050,0,7370,3070,40,24500,
1130,10,6760,2120,20,24550,
1070,0,8400,1800,20,29590,
910,30,8880,2350,60,33830,
660,0,6240,2300,20,26950,
580,10,7410,2180,50,23890,
650,10,7570,2120,40,25490,
330,10,7890,1590,110,26090,
1540,0,6470,2120,0,40500,
500,10,5410,2580,40,27380,
340,30,7320,1580,30,24680,
710,10,8930,1150,30,25840,
430,0,7430,2930,70,24910,
410,10,5560,6190,60,24360,
450,10,7570,2050,90,24040,
470,0,5550,1970,70,27450,
470,0,5430,2100,40,24590,
680,0,5360,1680,60,24660,
650,20,5190,1890,90,24630,
470,20,4540,1420,60,27370,
580,30,4820,2790,10,27310,
260,10,5140,1270,30,23270,
330,0,4940,2760,50,25120,
550,40,4840,1290,20,27310,
510,20,3980,2130,120,34180,
