CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
520;10;6680;21900;50;23570;Min;250,00;0,00;0,00;800,00;0,00;18670,00
580;10;6070;9110;30;24440;Max;1380,00;240,00;18870,00;21900,00;990,00;336650,00
500;80;7140;6910;40;25000;Mediana;500,00;20,00;2050,00;1580,00;60,00;27750,00
470;20;7680;10970;100;20700;Œrednia;528,42;22,47;2828,35;1983,50;82,71;29012,57
550;10;5230;6880;20;23320;Odchylenie;106,34;15,65;2074,31;781,33;50,99;3504,64
630;20;5460;15590;70;21460;;;;;;;
440;0;5110;7330;80;20740;;;;;;;
540;0;4000;5840;40;21020;;;;;;;
570;20;5800;5930;10;19060;;;;;;;
390;20;9390;6770;30;19990;;;;;;;
660;70;6630;6970;130;22120;;;;;;;
740;20;5320;8430;260;23850;;;;;;;
730;30;7040;4010;60;28280;;;;;;;
630;0;5320;2540;220;19480;;;;;;;
640;10;5280;5170;110;21350;;;;;;;
460;20;5120;6180;90;22550;;;;;;;
630;0;3870;7150;50;24330;;;;;;;
490;30;5200;6620;50;29620;;;;;;;
510;30;9050;7480;40;33310;;;;;;;
560;10;6310;7720;30;30080;;;;;;;
490;10;6010;3940;120;29490;;;;;;;
410;30;6310;6180;70;30480;;;;;;;
520;10;4640;4020;20;34650;;;;;;;
490;10;8930;2850;70;40070;;;;;;;
640;0;7700;2470;50;28570;;;;;;;
580;30;5420;2550;40;30240;;;;;;;
530;10;5490;2720;50;29290;;;;;;;
640;40;6590;1720;120;28700;;;;;;;
690;0;6390;1610;40;27400;;;;;;;
600;80;5770;2300;50;27910;;;;;;;
800;0;5420;2840;100;33310;;;;;;;
580;0;7560;2100;260;31600;;;;;;;
500;0;6000;2320;230;30520;;;;;;;
610;50;3900;1770;40;30650;;;;;;;
500;10;5710;1680;40;39240;;;;;;;
760;10;6340;2250;70;33800;;;;;;;
640;10;5470;2040;70;31050;;;;;;;
620;10;4680;2540;30;29260;;;;;;;
490;10;4560;2340;410;30690;;;;;;;
540;20;5210;2550;370;31240;;;;;;;
580;10;6350;2010;540;28840;;;;;;;
380;0;6000;1940;380;29630;;;;;;;
460;0;6670;5470;360;29570;;;;;;;
490;30;5680;2470;420;28250;;;;;;;
530;20;5640;1670;480;27820;;;;;;;
530;50;6140;2030;420;27540;;;;;;;
570;30;4770;3600;500;27980;;;;;;;
