CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
7810;24980;960;19490;1020;2940;Min;10,00;24240,00;20,00;2350,00;830,00;2220,00
530;25060;3080;21720;940;2890;Max;12840,00;34300,00;5600,00;201010,00;2880,00;14060,00
5950;25140;690;21360;990;2750;Mediana;440,00;25280,00;520,00;9940,00;1040,00;2850,00
700;25150;1080;25170;1060;2820;Œrednia;519,54;25470,58;660,70;10906,81;1046,72;2905,72
410;25960;590;95090;1030;2980;Odchylenie standardowe;284,94;478,49;376,77;3497,20;61,41;225,85
1000;25420;890;201010;1020;2740;;;;;;;
410;24550;560;46340;1060;3090;;;;;;;
230;24380;970;11420;1090;2810;;;;;;;
560;24600;460;11550;1070;2790;;;;;;;
1250;24710;50;9160;1060;2910;;;;;;;
740;27520;110;8600;1110;2920;;;;;;;
620;24680;400;14940;1020;2450;;;;;;;
820;25630;230;14250;930;2640;;;;;;;
610;24970;590;17970;930;3050;;;;;;;
1350;24780;1450;19320;960;2750;;;;;;;
210;24540;800;17360;950;2950;;;;;;;
1100;24850;1180;10760;1060;2850;;;;;;;
250;24620;1460;12780;1030;2980;;;;;;;
910;24590;550;11480;1190;3130;;;;;;;
450;24400;600;14290;1050;2840;;;;;;;
430;24370;960;15460;1080;2690;;;;;;;
720;24440;990;14610;970;2850;;;;;;;
560;24300;430;30240;970;2700;;;;;;;
840;24940;1100;10220;1000;2810;;;;;;;
490;24910;1020;8730;1060;2890;;;;;;;
470;24710;780;7830;1120;3000;;;;;;;
350;24800;500;10870;1090;2730;;;;;;;
650;24630;920;43340;1080;2980;;;;;;;
640;24580;1260;12580;1100;3100;;;;;;;
410;24780;910;14350;980;2480;;;;;;;
500;24520;720;9820;900;2830;;;;;;;
110;24730;1020;15200;1020;2510;;;;;;;
220;24660;590;9960;830;2560;;;;;;;
450;24780;1290;14250;940;2970;;;;;;;
330;24270;830;15180;940;3160;;;;;;;
110;24930;820;9550;940;2740;;;;;;;
160;24670;940;14440;1030;3190;;;;;;;
190;24650;1760;8530;1040;2800;;;;;;;
480;26310;640;15600;1050;3020;;;;;;;
250;24240;1030;16900;1030;2900;;;;;;;
350;24640;730;13480;1030;3080;;;;;;;
400;24520;750;13800;1060;3700;;;;;;;
230;24980;380;12990;1080;2780;;;;;;;
250;25210;1290;14050;1050;2750;;;;;;;
310;30730;750;8960;1030;2820;;;;;;;
280;26120;340;10290;1070;2980;;;;;;;
430;24890;1400;8570;1080;2860;;;;;;;
180;24560;1120;8850;1080;2940;;;;;;;
330;24650;1100;11350;1040;2900;;;;;;;
480;24590;810;8420;1010;2600;;;;;;;
330;24260;1300;13810;1060;2770;;;;;;;
350;24770;1670;9140;1050;3580;;;;;;;
480;25490;770;9900;1050;2910;;;;;;;
790;25540;510;14640;1030;2620;;;;;;;
600;26170;960;6540;1080;3070;;;;;;;
460;25020;1760;11030;1020;2710;;;;;;;
870;25260;540;10940;1050;2790;;;;;;;
460;26840;530;10460;1040;2770;;;;;;;
500;24950;1310;11030;1030;2970;;;;;;;
320;25800;770;9490;1030;2740;;;;;;;
130;24940;1490;9260;940;2520;;;;;;;
560;24840;1330;9280;1000;2820;;;;;;;
420;25400;1340;10150;1050;3220;;;;;;;
290;25190;640;10370;1050;2850;;;;;;;
210;24910;100;13410;1030;2610;;;;;;;
330;25000;130;10960;1020;3000;;;;;;;
170;24970;1590;10480;1040;2540;;;;;;;
310;24860;210;11870;1050;2600;;;;;;;
540;24700;570;16380;1020;2930;;;;;;;
220;24720;320;14360;990;3060;;;;;;;
430;26330;440;11050;920;3000;;;;;;;
550;26460;450;7860;900;2620;;;;;;;
300;24890;540;11850;980;2770;;;;;;;
500;25080;890;10860;1070;2740;;;;;;;
320;24930;1070;13340;1040;2690;;;;;;;
480;24980;1350;20740;1070;2510;;;;;;;
290;30290;630;18260;1040;2840;;;;;;;
490;24890;520;22410;1050;2800;;;;;;;
360;24850;960;18270;1000;2850;;;;;;;
240;24960;180;10030;1030;2810;;;;;;;
390;25010;330;14840;1040;3070;;;;;;;
420;24780;510;15770;1010;3020;;;;;;;
370;26510;1150;10410;1090;3070;;;;;;;
380;24900;410;22770;1070;4080;;;;;;;
430;24980;790;19690;1040;3070;;;;;;;
190;24790;1140;16860;1030;2610;;;;;;;
200;25490;370;16260;1060;2820;;;;;;;
240;25110;370;16720;1090;2730;;;;;;;
330;30160;190;8780;1100;3020;;;;;;;
760;26310;940;11130;1090;2850;;;;;;;
