CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
36180;26610;1960;33020;2640;2660;Min;20,00;24580,00;40,00;2550,00;840,00;2290,00
22780;25870;2140;11470;1920;2700;Max;36180,00;32130,00;15020,00;177570,00;10450,00;16520,00
27140;25240;2780;99980;2220;2960;Mediana;600,00;25300,00;545,00;9070,00;1040,00;2885,00
22610;26710;890;46330;1580;2790;Œrednia;1039,59;25468,76;690,41;10648,95;1079,30;2957,75
10010;25050;890;87830;970;2930;Odchylenie standardowe;854,17;397,52;390,93;4686,57;114,25;243,28
7040;25210;920;90590;1050;2890;;;;;;;
13060;25300;2290;36890;990;2880;;;;;;;
10110;24990;560;7010;940;2940;;;;;;;
8320;25240;1050;8240;930;2790;;;;;;;
4530;25210;480;12360;900;2320;;;;;;;
4710;25450;730;7000;930;2660;;;;;;;
5650;25290;980;8620;840;2970;;;;;;;
12820;25470;1700;11250;860;3380;;;;;;;
3310;25090;1850;10100;920;3470;;;;;;;
7350;25420;700;11980;980;3560;;;;;;;
4400;25090;850;16280;890;3060;;;;;;;
4700;25200;870;15950;1050;3000;;;;;;;
4040;25020;150;14140;1020;2720;;;;;;;
2750;25750;1160;15770;1010;3820;;;;;;;
1170;25360;1510;7660;1060;3220;;;;;;;
6490;25220;510;9760;1150;2720;;;;;;;
3110;25160;120;14920;1080;2730;;;;;;;
4970;25320;2550;19770;1030;2700;;;;;;;
2890;25460;890;18040;1080;2820;;;;;;;
4780;25780;1110;8550;1060;2990;;;;;;;
3520;26500;1200;10180;1000;3420;;;;;;;
1680;25480;1240;9070;1170;2930;;;;;;;
630;25130;790;6670;1060;2860;;;;;;;
3230;25050;520;23110;1050;2890;;;;;;;
1460;25160;170;16320;970;2770;;;;;;;
1280;25360;1270;7540;940;2940;;;;;;;
2610;25120;1680;6820;970;3170;;;;;;;
4570;24780;590;6980;980;2480;;;;;;;
6540;25520;710;10710;970;2520;;;;;;;
6360;26860;1600;16350;920;2660;;;;;;;
3240;25810;1580;14870;930;2900;;;;;;;
1520;24850;1290;12620;1060;3080;;;;;;;
1790;25230;1180;10490;940;2810;;;;;;;
4400;25020;2030;8030;970;3210;;;;;;;
3740;25210;1070;7630;930;3650;;;;;;;
1540;25010;340;7040;1190;3490;;;;;;;
3100;26320;340;14200;1150;2860;;;;;;;
1620;25270;1140;10020;1060;2820;;;;;;;
2280;25050;990;8370;970;2910;;;;;;;
810;25180;330;7400;920;2380;;;;;;;
2730;24880;710;6120;1060;3070;;;;;;;
1660;27240;920;6560;1070;2730;;;;;;;
1480;25300;1940;5970;1030;2710;;;;;;;
1690;25860;1340;6520;1030;3360;;;;;;;
700;25420;2480;14600;1060;3080;;;;;;;
4220;24760;750;7060;1130;2870;;;;;;;
1500;25100;1540;15910;1050;3370;;;;;;;
1870;25050;90;8840;1040;2950;;;;;;;
800;25000;830;5970;1150;2770;;;;;;;
1730;25200;970;14140;1290;3420;;;;;;;
1220;24870;840;7870;1110;2810;;;;;;;
1990;25180;560;11700;950;2640;;;;;;;
2470;25140;540;9930;1030;2610;;;;;;;
1940;25460;1540;8720;1130;2870;;;;;;;
2790;25040;860;13700;920;2970;;;;;;;
1400;24970;1170;16050;950;2900;;;;;;;
2320;25000;1290;12340;900;2840;;;;;;;
1540;25170;740;11140;920;2960;;;;;;;
3360;24950;550;177570;890;2720;;;;;;;
490;24990;950;117530;1010;2650;;;;;;;
1620;25080;1780;28740;1010;2850;;;;;;;
1310;25450;870;74370;1030;2760;;;;;;;
760;25010;480;11430;1040;3020;;;;;;;
2010;25250;580;46630;1040;2940;;;;;;;
990;25080;1180;96850;1070;2560;;;;;;;
1190;25230;1250;10110;1090;2890;;;;;;;
1560;25460;730;14460;1080;3060;;;;;;;
1390;24820;1810;17730;1020;2480;;;;;;;
3140;27910;1180;17280;910;3030;;;;;;;
1130;25310;1440;12720;890;3000;;;;;;;
1380;25140;1150;8520;890;2830;;;;;;;
180;25190;120;9470;990;2770;;;;;;;
3030;24850;500;23500;1080;3120;;;;;;;
2010;25260;1460;11960;890;2990;;;;;;;
2480;24760;740;15060;920;3070;;;;;;;
1220;24850;320;7680;900;2960;;;;;;;
670;25400;130;8810;1010;2810;;;;;;;
690;25450;560;10160;1170;2810;;;;;;;
2110;25090;740;10960;1050;2960;;;;;;;
840;25100;540;7450;1080;2990;;;;;;;
1010;24960;270;9300;1090;2770;;;;;;;
520;24870;260;7850;1060;2930;;;;;;;
950;25240;460;13000;930;2780;;;;;;;
1640;25110;990;6780;950;3120;;;;;;;
1760;25020;650;13020;910;2460;;;;;;;
760;24950;630;12630;940;2290;;;;;;;
1390;25140;500;17140;910;2630;;;;;;;
1820;26360;400;16210;910;2680;;;;;;;
770;26320;880;10450;1020;2980;;;;;;;
1500;25240;600;11190;1020;2930;;;;;;;
810;26120;750;9500;870;2910;;;;;;;
2510;24870;440;6230;1040;2780;;;;;;;
740;25380;660;10310;1050;3010;;;;;;;
1190;25260;600;8400;1030;3000;;;;;;;
2100;25170;600;7470;1140;2800;;;;;;;
1860;25250;1050;13950;1070;3120;;;;;;;
1410;25300;1150;13190;1060;2560;;;;;;;
2880;25030;410;8890;1010;2910;;;;;;;
2280;25270;630;9110;1040;2940;;;;;;;
660;25140;490;18730;1010;2830;;;;;;;
1080;25360;590;8220;1020;2940;;;;;;;
1570;25360;1250;9510;1040;3490;;;;;;;
1360;25620;410;6560;1050;2980;;;;;;;
1020;25180;870;8290;1030;3050;;;;;;;
1780;25500;890;10560;1050;2920;;;;;;;
620;25320;510;12840;1030;2700;;;;;;;
1800;25350;770;10110;1020;2520;;;;;;;
1440;27290;570;9280;1050;2950;;;;;;;
1200;25110;760;15250;1060;2810;;;;;;;
800;25090;450;9800;950;2440;;;;;;;
1420;25160;450;8430;960;2990;;;;;;;
1860;25200;950;14090;900;2950;;;;;;;
1150;25470;600;9580;1030;2780;;;;;;;
1130;24990;960;6870;1030;2980;;;;;;;
1880;25150;860;15230;1010;2830;;;;;;;
1110;24850;130;19250;1060;2580;;;;;;;
1140;25180;630;133820;1180;2960;;;;;;;
2360;25480;660;19920;1050;2600;;;;;;;
1690;25040;540;11020;1040;2730;;;;;;;
810;25060;350;10230;990;3050;;;;;;;
1810;25180;300;8150;960;2590;;;;;;;
750;25170;60;6710;1010;2860;;;;;;;
820;25240;460;7090;1370;2910;;;;;;;
1250;25360;260;9110;920;2950;;;;;;;
730;25300;330;12220;1040;2830;;;;;;;
1280;25210;160;17280;940;3120;;;;;;;
960;24850;980;16360;1020;3080;;;;;;;
1260;25300;480;12540;1030;3010;;;;;;;
1260;25510;960;16120;1020;3170;;;;;;;
1280;25040;280;7380;1090;2630;;;;;;;
880;25120;940;7370;1030;2970;;;;;;;
710;25420;100;5840;1050;2870;;;;;;;
1060;25070;750;6030;1020;2670;;;;;;;
1840;26220;190;8400;960;2930;;;;;;;
1590;26290;200;9380;890;3190;;;;;;;
720;25370;1340;19250;950;2760;;;;;;;
1120;27610;1070;7580;1060;3780;;;;;;;
580;25290;830;7880;840;2850;;;;;;;
1290;25180;630;7170;1100;2760;;;;;;;
520;25860;860;7170;960;2760;;;;;;;
810;25230;520;5880;960;2980;;;;;;;
720;25340;180;9390;960;2790;;;;;;;
840;25140;550;16730;1190;2960;;;;;;;
980;25360;940;14750;1020;2980;;;;;;;
640;25120;90;5800;1100;2350;;;;;;;
1000;27310;420;5850;930;2960;;;;;;;
920;25860;310;7090;910;3070;;;;;;;
990;25230;2070;10240;990;2910;;;;;;;
950;25170;480;6940;1040;3050;;;;;;;
1320;25030;380;6290;1050;2950;;;;;;;
630;25010;710;8140;950;3000;;;;;;;
1830;25310;450;8620;960;3140;;;;;;;
1310;25630;130;15790;1100;2730;;;;;;;
490;25140;120;14720;1040;2640;;;;;;;
620;25080;210;12860;1330;3040;;;;;;;
780;24920;530;17220;1230;2810;;;;;;;
990;25420;390;12020;1240;2750;;;;;;;
860;25110;250;7000;1250;2900;;;;;;;
650;25420;830;9030;1210;2890;;;;;;;
2000;24730;260;11800;1270;2840;;;;;;;
2400;25460;480;5250;1120;2800;;;;;;;
1130;25310;700;9600;1390;2660;;;;;;;
1010;25150;490;10390;1200;2680;;;;;;;
700;25050;910;12140;1010;2930;;;;;;;
1640;25290;580;11770;960;2840;;;;;;;
1470;25050;460;10950;1030;2920;;;;;;;
370;25050;1670;7410;1070;2930;;;;;;;
300;25210;690;9110;1090;3010;;;;;;;
1810;25310;110;6790;1060;2590;;;;;;;
460;25590;830;5260;1040;2890;;;;;;;
1360;25290;980;9870;1050;2910;;;;;;;
940;25000;500;6650;1050;3190;;;;;;;
1310;25310;140;5760;1030;2970;;;;;;;
860;25010;760;7810;1180;3070;;;;;;;
860;25140;550;13890;1040;2870;;;;;;;
1390;24940;470;11700;1000;2620;;;;;;;
650;25060;210;10660;1070;3040;;;;;;;
860;25100;720;11650;1030;2780;;;;;;;
980;25330;450;12820;1100;2950;;;;;;;
640;27590;600;13420;1070;3180;;;;;;;
850;25990;420;6590;1040;2730;;;;;;;
590;25780;730;12010;1040;2610;;;;;;;
740;25920;430;6000;1070;3050;;;;;;;
960;25140;580;6520;1090;3560;;;;;;;
1210;27270;660;11470;1060;2680;;;;;;;
1530;25370;110;8690;1080;2970;;;;;;;
770;25300;180;9430;1040;2620;;;;;;;
2210;24930;630;5540;1030;2550;;;;;;;
3700;25070;50;5550;1060;2740;;;;;;;
1980;25370;290;5370;1050;2940;;;;;;;
1080;25210;610;7800;1110;2860;;;;;;;
630;25270;100;13140;1080;2740;;;;;;;
860;25510;240;13290;1150;3060;;;;;;;
1280;25830;200;7370;1040;3140;;;;;;;
510;24970;370;8140;1180;3080;;;;;;;
880;25570;150;8350;1780;2550;;;;;;;
720;25230;240;7360;1980;2480;;;;;;;
650;25030;510;8000;1070;2830;;;;;;;
950;25360;170;15180;1000;2830;;;;;;;
890;25170;160;20100;5740;2900;;;;;;;
550;25190;710;8120;1870;3210;;;;;;;
690;25300;500;5620;1130;2980;;;;;;;
830;25210;510;6900;1340;3230;;;;;;;
660;27250;170;8300;1110;3110;;;;;;;
960;26910;610;13850;1090;2880;;;;;;;
480;25050;370;11890;1060;2760;;;;;;;
1050;25080;370;5830;1090;3100;;;;;;;
1120;25310;1090;9710;1020;2880;;;;;;;
600;25360;720;11350;1050;3290;;;;;;;
570;28260;720;10150;1090;3010;;;;;;;
610;27990;400;6390;1240;2880;;;;;;;
810;25020;200;12550;1020;2850;;;;;;;
650;25030;480;12990;950;2980;;;;;;;
1140;24940;300;11800;1070;2990;;;;;;;
670;25230;160;14600;950;2830;;;;;;;
560;25590;230;14530;990;3160;;;;;;;
730;25310;1580;7060;1010;2830;;;;;;;
770;25140;330;7010;1010;2950;;;;;;;
590;25910;200;55140;860;2990;;;;;;;
1330;25190;890;43350;1110;3030;;;;;;;
1340;25350;970;12160;1100;2780;;;;;;;
1060;25270;510;10510;1050;2730;;;;;;;
1720;27390;1220;16830;1010;2700;;;;;;;
930;25700;920;18100;1010;3070;;;;;;;
790;25560;520;20160;1020;2860;;;;;;;
690;27690;1360;6480;1060;2970;;;;;;;
920;25110;710;7200;1020;2870;;;;;;;
990;26580;870;10990;1270;2530;;;;;;;
390;25000;1650;11020;1050;2870;;;;;;;
1150;25000;770;12260;1060;2700;;;;;;;
1220;25440;940;17740;1010;2800;;;;;;;
1590;25280;920;14870;1030;2760;;;;;;;
100;25240;1470;12440;1040;2920;;;;;;;
690;25230;3510;11220;1040;2670;;;;;;;
420;25310;980;12020;870;2870;;;;;;;
