CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
23280;24560;3450;276240;1670;4760;Min;1030,00;24130,00;910,00;4110,00;1020,00;3850,00
17790;24570;6280;141810;1300;5050;Max;23280,00;34780,00;12440,00;276240,00;7210,00;28820,00
18760;24630;1850;49540;1250;4580;Mediana;1740,00;24820,00;2090,00;10815,00;1310,00;4740,00
12290;24460;5250;16440;1680;4770;Œrednia;1960,33;25021,64;2428,99;11819,63;1328,16;4833,11
7260;24550;1970;24890;1290;4670;Odchylenie standardowe;593,09;452,05;916,25;3643,70;129,61;331,73
6600;24410;4840;13290;1290;5200;;;;;;;
6360;25100;4160;11770;1310;4580;;;;;;;
5580;24790;3070;14970;1140;4860;;;;;;;
7190;24420;2800;15490;1260;4740;;;;;;;
4640;24490;3510;12450;1140;4840;;;;;;;
6580;24640;2820;16160;1280;4930;;;;;;;
5100;24600;2400;11890;1270;4640;;;;;;;
7430;24500;6080;15640;1750;4910;;;;;;;
7050;24790;1320;19700;1290;5050;;;;;;;
5030;24530;4060;13670;1370;4800;;;;;;;
3000;24710;3990;18320;1220;5080;;;;;;;
4310;24630;3760;14910;1330;4980;;;;;;;
4730;24630;5800;13250;1430;4750;;;;;;;
2190;24410;4280;25890;1080;4800;;;;;;;
2790;24680;5270;10270;1110;5140;;;;;;;
5970;24450;2790;11110;1070;5220;;;;;;;
5510;24820;2660;13140;1120;5040;;;;;;;
4170;24340;5090;10290;1270;4760;;;;;;;
3590;24360;4410;15100;1200;5190;;;;;;;
4200;26060;6600;17710;1130;4860;;;;;;;
2930;24180;3340;6980;1270;4930;;;;;;;
2620;25300;3560;10530;1300;4510;;;;;;;
1560;24700;4000;9200;1270;4920;;;;;;;
2360;24740;7100;14370;1220;5510;;;;;;;
2480;24710;3970;17100;1100;5110;;;;;;;
1480;24550;3160;16130;1130;4750;;;;;;;
2430;24620;3860;8220;1210;4870;;;;;;;
1760;25120;6300;14240;1330;4690;;;;;;;
2400;24390;2990;11250;1500;4710;;;;;;;
2650;24290;3510;9340;1280;4760;;;;;;;
