CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
31900;26530;2960;63840;1530;4980;Min;1130,00;25650,00;1050,00;3260,00;1070,00;4240,00
29370;26690;2510;128330;1720;4630;Max;31900,00;31870,00;8550,00;261440,00;9620,00;45280,00
20570;26220;3750;261440;1560;4970;Mediana;2010,00;26500,00;1980,00;10820,00;1410,00;4970,00
15540;26830;2340;81200;1550;5600;Œrednia;2350,71;26650,50;2256,50;11862,71;1473,99;5082,12
8970;31870;1730;47530;1440;4730;Odchylenie;818,02;400,07;716,00;4182,31;214,74;300,88
7420;29410;5040;11680;1680;4590;Œrednia1;2801,543086;26602,60521;2377,935872;10843,90782;1459,438878;5026,973948
8420;26220;3730;11700;1470;4750;Œrednia2;1900,92;26704,82;2134,42;12885,1;1488,58;5137,2
5370;28050;2110;15280;1490;5420;r;-900,6230862;102,2147896;-243,5158717;2041,192184;29,14112224;110,2260521
6680;26770;3200;19430;1640;4970;;;;;;;
8180;26740;3190;14530;1530;4920;;;;;;;
6580;26630;2770;14280;1480;4660;;;;;;;
4740;26210;3350;15660;1350;5010;;;;;;;
13370;26550;2430;13780;1640;5050;;;;;;;
10260;26840;2590;13320;1250;5380;;;;;;;
5500;26400;2480;11010;1230;4930;;;;;;;
6940;26780;3580;9560;1620;5180;;;;;;;
7980;27830;3470;25240;1680;5030;;;;;;;
3240;26500;2260;31020;1550;4890;;;;;;;
3710;27380;3680;18820;1430;5000;;;;;;;
3140;26620;3270;12330;1460;5160;;;;;;;
7100;26460;3520;9110;1470;4720;;;;;;;
5420;26380;2460;9320;1330;4950;;;;;;;
8470;26380;3970;12620;1200;5070;;;;;;;
3950;26390;2530;11230;1580;4950;;;;;;;
5260;26210;1270;13220;1480;4990;;;;;;;
4250;26660;6680;14740;1200;4980;;;;;;;
3260;26610;5190;11630;1230;5190;;;;;;;
2800;26720;5020;8750;1130;4990;;;;;;;
3820;26120;3550;8610;1430;5010;;;;;;;
2690;25930;4950;9460;1230;5230;;;;;;;
3680;26420;5570;13870;1320;5060;;;;;;;
2870;26220;2750;11650;1160;4940;;;;;;;
6470;26920;3270;11780;1110;4850;;;;;;;
9070;25920;2050;10260;1090;5600;;;;;;;
7870;26220;2830;12160;1190;5040;;;;;;;
6350;26350;4090;9120;1400;5120;;;;;;;
2900;26320;1260;10730;1340;5370;;;;;;;
2370;26120;4460;13690;1540;5360;;;;;;;
6830;26210;3580;12940;1590;5000;;;;;;;
5350;26440;1270;11380;1490;4640;;;;;;;
3210;26160;2860;19250;1490;5000;;;;;;;
5360;26150;3380;16040;1280;4810;;;;;;;
3050;26620;3890;14350;1610;4910;;;;;;;
3130;26540;4310;8680;1310;4770;;;;;;;
2180;27940;2870;8060;1140;5100;;;;;;;
4350;25980;3620;10580;1240;4770;;;;;;;
3300;26090;3570;10180;1200;4860;;;;;;;
3420;25880;4250;8210;1200;4680;;;;;;;
3690;26320;2200;12450;1220;5080;;;;;;;
3250;26260;4700;13480;1210;4880;;;;;;;
4380;26150;1990;9690;1370;5020;;;;;;;
2910;26190;2290;11680;1420;5050;;;;;;;
2860;26040;1410;8790;1450;5020;;;;;;;
2870;26390;3190;8990;1430;4830;;;;;;;
3560;26690;2260;7900;1370;4940;;;;;;;
3500;26160;2570;12770;1550;5020;;;;;;;
4230;26220;2070;11690;1460;4860;;;;;;;
3820;26230;2050;10820;1410;5070;;;;;;;
2400;26410;2790;9350;1530;6080;;;;;;;
3790;26490;1640;13120;1290;5170;;;;;;;
2370;28470;2820;7660;1340;4960;;;;;;;
3550;26500;4680;7670;1180;5480;;;;;;;
3720;30060;2370;7850;1390;5740;;;;;;;
2580;26200;2470;11820;1370;5220;;;;;;;
2830;26380;3280;11560;1360;5220;;;;;;;
3510;26320;1770;8280;1400;5180;;;;;;;
2620;26280;2910;8550;1240;5430;;;;;;;
2900;26270;1980;13870;1260;4890;;;;;;;
2180;26300;4050;12190;1270;4700;;;;;;;
2970;26200;4470;9560;1150;4810;;;;;;;
2270;26410;4100;10140;1300;4880;;;;;;;
2890;26440;1970;11720;1410;4640;;;;;;;
2740;26120;3660;6340;1510;4690;;;;;;;
4520;26290;2750;7550;1210;4400;;;;;;;
2590;26380;1460;13910;1080;4970;;;;;;;
2820;26170;2930;11290;1170;4770;;;;;;;
2200;26530;3680;25570;1350;5140;;;;;;;
3100;26290;2910;14820;1530;4960;;;;;;;
3410;26300;1490;9430;1270;5040;;;;;;;
2990;26290;3660;11780;1490;4870;;;;;;;
2600;26460;2790;14320;1630;5070;;;;;;;
2730;27820;4410;11640;1430;5040;;;;;;;
2250;26300;1770;12810;1470;5020;;;;;;;
3190;26390;1360;9080;1650;4820;;;;;;;
2530;26150;2790;6120;1170;5440;;;;;;;
2300;25810;2640;12970;1200;5360;;;;;;;
2350;26070;2720;23660;1380;4470;;;;;;;
2670;26220;1800;13490;1490;5090;;;;;;;
2840;26040;2500;14630;1420;4940;;;;;;;
3010;26130;3170;7620;1440;5060;;;;;;;
2960;26060;1680;10410;1520;4890;;;;;;;
3050;26110;3310;15890;1440;4940;;;;;;;
3410;25950;3280;8060;1220;5160;;;;;;;
2530;26120;2890;7830;1220;4800;;;;;;;
2400;26560;1500;10760;1230;4780;;;;;;;
2280;26360;1480;14290;1290;4770;;;;;;;
2920;26290;2100;16630;1130;4830;;;;;;;
2970;26030;1390;10560;1400;4870;;;;;;;
3590;26340;1210;10190;1440;4740;;;;;;;
2600;26460;1940;27250;1440;4630;;;;;;;
2810;26270;1340;9860;1570;4790;;;;;;;
3700;26530;1350;10280;1230;4870;;;;;;;
4070;26520;1860;12000;1490;4870;;;;;;;
3240;26620;2160;12290;1510;4960;;;;;;;
2850;28490;2810;6810;1410;5140;;;;;;;
2440;26140;1530;13680;1380;4960;;;;;;;
2730;27050;2700;11620;1220;4920;;;;;;;
2990;26320;2680;13220;1140;5120;;;;;;;
2530;26400;1860;11030;1370;4740;;;;;;;
2500;26340;3680;9850;1160;4990;;;;;;;
2610;26450;1510;16860;1210;4770;;;;;;;
2930;26210;1740;12250;1760;5120;;;;;;;
3170;26850;2340;29490;1430;4930;;;;;;;
2990;26150;1170;14870;1400;4940;;;;;;;
2770;26550;3270;7960;1720;4910;;;;;;;
4340;26130;2250;10510;1450;5250;;;;;;;
3400;26590;2290;6410;1580;5020;;;;;;;
2780;26580;2220;10020;1420;4700;;;;;;;
2800;27680;2700;14000;1780;5130;;;;;;;
3120;26250;3510;9050;1410;4900;;;;;;;
2210;26580;1820;10090;1530;4670;;;;;;;
2570;26030;1580;14330;1460;4870;;;;;;;
3120;26180;1530;10110;1640;4930;;;;;;;
4000;25830;1700;8070;1290;5230;;;;;;;
3630;25890;1690;11390;1390;4760;;;;;;;
3170;26250;2580;8060;1500;4740;;;;;;;
2140;25990;1490;6900;1480;5120;;;;;;;
2570;25950;1810;7530;1420;5160;;;;;;;
2750;26030;3400;5700;1440;4690;;;;;;;
2220;25920;3660;6580;1580;5110;;;;;;;
2730;25920;2640;8070;1480;5560;;;;;;;
2620;25790;1610;9120;1710;6800;;;;;;;
3120;26170;1680;10730;1460;6670;;;;;;;
2400;26110;1580;8130;1430;5660;;;;;;;
3570;25710;1510;13070;1390;4710;;;;;;;
2930;26230;2110;13920;1430;4800;;;;;;;
2520;26540;1370;6580;1540;4680;;;;;;;
3140;26250;3430;9350;1380;4770;;;;;;;
2960;26650;1460;7040;1460;4630;;;;;;;
3510;26270;1710;7680;1260;4840;;;;;;;
2030;26360;2030;12010;1300;5300;;;;;;;
2260;26540;1630;17200;1310;6910;;;;;;;
2820;26570;1700;5900;1210;5220;;;;;;;
2520;26420;3010;6680;1300;5440;;;;;;;
2390;27160;1260;4840;1510;5270;;;;;;;
2110;26370;2080;13030;1440;5090;;;;;;;
2170;26110;2790;8720;1360;4900;;;;;;;
2180;26330;1820;6680;1400;5000;;;;;;;
1850;28700;2970;10910;1530;4970;;;;;;;
2230;26160;2290;12490;1350;4750;;;;;;;
3330;27210;3960;12630;1600;4760;;;;;;;
2320;26400;1890;11890;1400;5390;;;;;;;
2090;26030;1410;11400;1420;5170;;;;;;;
2520;26650;2100;14410;1430;5150;;;;;;;
3160;26610;1770;6940;1450;5320;;;;;;;
2590;27000;1940;8820;1370;5330;;;;;;;
3230;27840;2700;7780;1140;4850;;;;;;;
3170;26270;1610;7260;1170;4710;;;;;;;
2710;26400;1730;5240;1380;4970;;;;;;;
2640;26210;2240;7020;1520;4850;;;;;;;
2110;27340;2110;5830;1650;4940;;;;;;;
3070;26790;1640;13560;1230;4520;;;;;;;
3290;27040;3250;8550;1110;4890;;;;;;;
2750;26270;2230;18560;1120;4650;;;;;;;
4490;26260;1580;16160;1150;4850;;;;;;;
2410;26530;1450;21500;1170;4660;;;;;;;
2300;26110;2810;17850;1170;5480;;;;;;;
2680;26340;1110;10920;1180;4720;;;;;;;
1830;26790;1730;8240;1370;4740;;;;;;;
2490;26120;2880;11840;1460;5180;;;;;;;
2560;26710;3510;6940;1480;5180;;;;;;;
2310;26200;3080;3260;1510;4890;;;;;;;
2100;26510;1810;4220;1480;4980;;;;;;;
2080;26110;1980;11670;1560;5240;;;;;;;
2480;26160;2280;12550;1420;4950;;;;;;;
4460;26240;1780;11310;1430;4550;;;;;;;
4510;27630;1140;5380;1240;4840;;;;;;;
2930;26180;1760;5580;1310;5660;;;;;;;
2020;26260;2260;8590;1160;5010;;;;;;;
2140;26420;2330;10840;1410;4920;;;;;;;
2570;28210;1610;13680;1290;4870;;;;;;;
