CouchBase,Memcached,Mongo,Orient,Redis,Riak
740,2670,6330,4180,230,28320,
770,2540,4740,4950,220,26070,
640,2550,6600,5400,170,25310,
590,2530,5570,6390,210,33190,
630,2850,4580,4170,180,24810,
480,3180,4020,5170,190,25510,
550,2470,5690,8180,310,24410,
700,2620,5630,5470,150,23060,
880,2590,5060,7300,210,25960,
560,2510,6010,10360,180,31730,
620,2530,6410,6070,190,25800,
620,2630,6120,8640,190,26010,
520,2690,6110,8520,280,27030,
680,2610,6930,4600,180,23300,
600,2600,6890,4770,200,25090,
620,2520,5210,5090,270,22930,
530,2660,5010,4610,400,25740,
810,2590,6470,2910,270,23660,
530,2490,5970,3450,440,22900,
560,2760,5640,6060,380,24590,
810,2710,4850,6880,290,28530,
930,2520,6130,3410,210,32030,
560,2600,5380,2630,260,23510,
480,2830,6400,3040,160,28280,
1090,2550,6630,2690,320,27020,
970,2480,4740,3670,170,26020,
830,2690,6550,2640,170,32360,
920,2570,6020,3820,160,22530,
700,2500,4760,2760,180,23880,
830,2750,8120,2300,210,25370,
1030,2530,5310,3850,220,24390,
1040,2580,4060,2920,180,23290,
450,2630,4810,2920,340,22790,
540,2470,4830,2390,290,23140,
1060,2770,5060,5290,230,22000,
9920,2610,8450,2680,270,23800,
790,2500,6110,2580,160,27350,
820,2430,5010,2710,260,30830,
880,3010,5760,1950,180,33750,
960,2590,10830,2700,220,78350,
840,2500,8710,3460,290,61680,
830,2690,5940,3550,210,54170,
860,2450,6150,2170,250,28670,
600,2520,5610,2670,280,28480,
850,2660,4130,1730,320,29580,
2430,2690,4790,2400,220,31870,
1080,2480,3610,2340,200,27320,
840,2600,3020,3820,190,27830,
1040,2800,4350,2910,240,28530,
530,2590,4240,4790,180,38690,
510,2490,5540,4030,210,26500,
580,2540,4690,3830,230,27670,
580,2560,3510,5080,180,30920,
570,2490,3630,4020,220,24180,
730,2560,3490,2820,200,31230,
1540,2760,4640,4970,120,27800,
1670,2590,4150,4260,170,27950,
1270,2510,3890,2880,180,23750,
1520,2480,4190,3290,190,25940,
1640,2650,3790,4790,180,27810,
1390,2620,5010,3980,200,25760,
1080,2610,4940,30570,150,25610,
650,2690,4900,4160,150,26650,
480,2610,4050,6470,160,25390,
550,2610,5730,3940,170,30270,
600,2550,4180,3360,160,32530,
430,2510,3320,15410,110,26940,
550,2600,4430,18150,180,26180,
390,2660,4350,3600,200,29400,
640,2510,3290,3320,190,25820,
1240,2770,6480,4130,150,32790,
680,2820,3800,3670,300,22290,
530,2780,3760,3660,160,25110,
570,2660,3760,3780,220,26080,
550,2570,4530,3520,160,24740,
580,2480,4760,4140,140,29230,
800,2760,3370,4480,230,24960,
640,2690,2580,3970,230,26300,
490,2480,3310,3200,250,30600,
550,2450,4220,4500,150,24720,
490,2620,4970,4410,200,26580,
710,2530,4370,3880,200,33760,
890,2770,3390,15830,150,27320,
450,2670,4290,4570,190,24340,
550,2740,2900,4210,300,25690,
630,2660,4250,3190,170,26580,
490,2670,4160,3120,190,33200,
550,2490,4740,3270,250,24910,
560,2510,4220,3880,170,28690,
510,2660,3130,4120,170,25480,
570,2550,4140,3800,250,23620,
540,3170,3740,2760,200,24710,
420,3180,3380,4960,110,28090,
590,2600,2180,6020,140,23820,
630,2620,3670,3490,140,23460,
480,2680,2290,3740,170,22090,
640,2600,2790,3130,140,25030,
610,2540,2300,3010,150,25460,
740,2870,5060,2180,160,27880,
550,2650,4820,2730,160,24170,
570,2550,4200,2540,300,22980,
590,2750,3480,4060,180,22430,
520,2530,2870,4060,210,24680,
570,2520,3980,4110,190,22290,
850,2890,3980,2690,190,30020,
500,3090,3740,2460,150,35990,
710,2640,3890,2590,210,27690,
620,2740,2660,3740,170,28230,
550,2500,3110,3870,180,26010,
880,2550,6200,3840,210,28860,
560,2720,3730,3070,200,25010,
740,2530,2510,2900,250,26410,
640,2830,2310,3340,220,24640,
570,2700,3380,3710,170,25070,
460,2700,4890,3880,200,28450,
690,2530,3450,4290,190,29680,
640,2660,2900,1980,220,26940,
530,2570,3950,2260,180,27180,
580,2580,3040,2130,200,28280,
580,2820,4990,2220,220,27340,
910,2590,8330,4040,150,28440,
770,2540,2520,3340,200,33240,
600,2560,2740,2610,240,37670,
490,2710,3910,1630,220,26400,
660,2610,2200,2250,180,33780,
620,2690,3200,1420,330,29950,
510,2560,3420,2290,170,34240,
680,2800,2550,3250,190,32800,
450,2570,3660,2630,220,36960,
620,2630,2820,1850,200,35190,
610,2590,2460,3270,150,28280,
600,2560,2920,2390,160,30510,
630,2680,3090,1890,210,28360,
450,2460,3090,2240,210,29150,
420,2860,2670,2400,200,29890,
390,2510,3990,3620,210,32300,
550,2490,2390,3400,200,32320,
560,2620,3710,3060,200,29940,
480,2850,3580,1890,190,26380,
420,3030,3100,2580,190,23060,
430,2610,3760,3660,180,26550,
660,2800,3640,7430,200,30000,
500,2600,2340,3490,200,32900,
690,2570,2990,6420,210,33080,
760,2650,3190,2130,180,35010,
600,2660,2300,3340,280,24710,
590,2440,2810,2760,160,26540,
490,2490,3680,2360,140,22720,
580,2620,3310,3760,170,25480,
