CouchBase,Memcached,Mongo,Orient,Redis,Riak
730,2420,8630,4320,260,25810,
570,2740,7850,3590,200,25840,
750,2530,11430,3390,320,32730,
350,2430,5700,3450,200,25920,
470,2620,8230,2400,150,25600,
690,2630,7430,3210,230,27900,
560,2590,6440,3660,150,25240,
750,2490,6080,3630,150,24650,
630,2570,7350,2490,150,31270,
580,2500,8030,3490,320,28000,
560,2580,6680,3080,210,28610,
650,3110,8070,2210,170,27050,
590,2830,5900,2530,260,26820,
570,2500,7410,3680,150,27690,
670,2390,6580,2480,330,25560,
630,2550,5430,2500,270,28440,
670,2650,6680,2440,160,31290,
430,2520,5680,2990,220,24610,
540,2460,4480,5030,240,25790,
650,2590,8810,2680,180,25710,
460,2480,5710,4300,230,34050,
710,2460,6330,4220,120,30940,
600,2430,4960,4980,200,35110,
650,2460,5950,5180,190,54320,
1090,2550,5380,2190,160,40440,
920,2450,5880,1950,210,35090,
1090,2480,5910,1570,210,33270,
830,2580,6950,1400,220,33100,
960,2570,6000,3030,250,28430,
640,2390,5440,1510,230,36290,
540,2480,6700,2560,150,32880,
640,2690,6510,3130,200,30670,
470,2470,6360,3100,200,28720,
740,2560,9780,3050,260,35390,
580,2540,10830,2140,200,32130,
1280,2450,6810,2720,230,31460,
710,2470,6070,2750,200,31550,
590,2580,3990,2430,200,29750,
580,2620,5800,2250,190,30570,
530,2480,4330,2100,270,33200,
720,2420,5580,3010,180,28510,
430,2640,5250,2600,140,31330,
930,2530,5170,2120,180,29350,
1570,2490,5000,2440,230,38750,
700,2590,6460,1690,200,33140,
650,3450,4760,2110,190,30150,
500,2520,5360,2950,250,27620,
500,2530,7280,1680,230,33730,
620,2400,3080,2080,290,31080,
540,2600,5450,2040,170,30010,
550,2550,6350,1930,190,29540,
440,2420,5260,1720,320,34060,
610,2650,4450,2020,270,28970,
590,2580,17270,2150,250,29400,
470,2410,23080,1560,240,31350,
550,2450,12340,1980,180,31600,
520,2630,16160,2580,240,30470,
520,2490,17760,2640,220,34790,
840,2560,11690,2340,180,31670,
700,3210,12760,2790,200,27030,
470,2880,14730,2500,210,28890,
420,2430,16960,2140,190,29580,
630,2500,12640,1530,180,30910,
570,2660,10760,4670,200,30800,
490,2490,11770,1630,210,32320,
620,2610,11670,1220,210,29810,
650,2550,12040,2470,190,29330,
560,2780,11510,1750,140,30630,
710,2540,10450,2400,270,33430,
630,2520,13450,1740,270,26700,
590,2640,10500,1540,200,30960,
940,2500,10750,1880,370,36340,
620,2670,8540,1850,200,29190,
740,2500,10600,1790,210,29150,
650,2840,8520,3220,220,28860,
570,2480,6950,2340,200,27960,
600,2730,7190,2390,190,30850,
550,2520,7180,3750,260,28570,
1430,3070,8420,4320,190,37370,
580,2580,7530,3430,240,30530,
970,2530,9400,4210,200,29340,
650,2700,7460,5710,230,28110,
650,2530,6340,2280,190,27950,
740,2590,7060,2410,150,28350,
530,2540,6390,3170,360,28130,
520,2550,13600,2650,160,30370,
370,2560,5720,2280,150,32120,
530,2450,5990,2320,260,28690,
580,2820,5070,2560,190,27930,
1130,2650,7520,2800,220,28290,
580,2570,4610,2290,210,28860,
530,2500,4920,2880,170,31610,
550,2500,7640,1730,160,28100,
680,2590,5740,1740,250,26350,
480,2540,5530,2410,300,27910,
670,2820,5330,2390,200,24780,
610,2550,6240,3390,230,24800,
1070,2470,6150,4330,160,28840,
540,3070,4710,2810,230,37270,
700,3800,5710,2750,180,45380,
690,3090,4430,2300,200,35950,
550,2940,4300,1880,250,43000,
520,3230,7000,5380,210,33090,
530,2880,5260,2580,230,34200,
710,2700,4340,2740,220,36460,
1770,2510,4790,3880,310,35010,
720,2580,3370,2150,120,28820,
370,2450,4790,2300,170,33850,
590,2690,4090,2330,360,33470,
680,2590,3980,2140,160,30300,
690,2800,4150,1840,210,31420,
700,2800,5650,3720,210,32220,
570,2490,3780,5770,190,30670,
600,2600,4040,3550,170,29430,
560,2550,3850,2260,200,38190,
500,2520,3570,4200,160,33440,
560,2740,4440,4060,220,37370,
590,3170,3090,2090,210,32810,
470,2960,3310,1810,210,35460,
580,2680,2850,2330,290,31920,
