CouchBase,Memcached,Mongo,Orient,Redis,Riak
23190,24440,1050,139710,2710,2710,
15970,24190,2680,19690,1570,3040,
18750,24710,2610,11860,1800,2970,
12150,24160,3430,71560,1700,3120,
8710,24380,1420,79370,1630,2900,
5310,24230,1930,63050,1470,3060,
7820,24010,2290,6410,1620,2760,
6060,24340,2560,6140,1820,2950,
7240,24410,810,10680,1130,2750,
3900,24220,2840,6700,1060,2920,
6070,24090,1530,4170,1770,2420,
6830,24010,3350,3600,1020,2240,
12800,24270,2440,4700,1120,2340,
6310,24150,1490,6680,1100,2990,
9470,24270,1200,12210,910,2850,
7300,24330,1070,8470,910,2610,
7090,24100,2350,9930,1080,2740,
1510,24490,3690,9810,1040,2850,
2570,24440,2490,4530,1060,2580,
1090,24660,1260,4130,1000,2840,
2340,26400,980,4440,1030,2940,
5600,25340,2620,3160,1050,2550,
4030,24020,870,5150,1030,3080,
2180,24770,800,6150,1110,2930,
2640,24510,960,3410,1020,2640,
2500,24420,1180,4820,1020,3270,
2160,24200,2330,5660,1070,2690,
620,24080,1130,10440,1070,2880,
2200,24170,790,9530,1030,2710,
620,24430,1060,9640,1020,2660,
1470,24120,3290,3630,1010,2200,
1080,24260,1110,4010,1030,3010,
810,24720,4930,4980,1060,3120,
2110,24270,1550,13570,1030,3110,
2020,24730,140,8540,1000,2870,
1100,24220,3210,4400,970,2780,
640,23870,960,6140,1060,2580,
780,24450,1180,9130,990,3190,
2300,25370,2820,10480,1050,3200,
1480,24250,1250,10550,1030,2710,
370,24310,340,9500,1030,2880,
840,24080,1480,14500,1130,2690,
1390,24010,1800,8680,1030,2610,
11190,24710,1960,8850,1070,2880,
560,24350,2580,5080,1040,3020,
1190,24590,440,8760,1040,2850,
930,23970,2080,7730,1200,2990,
660,24900,1750,6780,1030,2520,
630,24130,140,34600,940,2540,
440,24370,810,16890,940,2820,
1130,24150,3690,13680,1020,2920,
840,24160,1930,7790,910,2680,
630,24060,1020,8610,940,2830,
990,24130,890,4040,1020,2690,
760,24370,1470,9000,910,2850,
1070,24480,1020,10130,930,2670,
1570,24260,1680,9280,940,2700,
1280,23990,180,9620,950,2900,
1150,24010,2140,14540,940,2640,
960,24450,1630,12020,950,2770,
2000,24300,1180,9570,960,2760,
1760,24380,900,4800,920,2750,
