CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
4500;22930;1010;54510;1310;2590;Min;10;22640;0;3130;840;2110
16050;22960;1790;82400;1280;2500;Max;38350;32980;3650;177270;24610;7010
14940;22900;1540;177270;1060;2910;Mediana;550;23570;390;9930;1020;2700
9130;23360;1900;72680;1310;2750;Œrednia;804,87;23615,13;476,93;10425,88;1081,66;2734,05
8720;23370;670;15890;970;2440;Odchylenie standardowe;547,3;475,67;297,14;2913,22;131,12;186,43
4810;22960;730;17830;900;2790;;;;;;;
7120;23070;550;16270;960;2730;;997,995992;23280,94188;557,9158317;11055,61122;1025,831663;2734,569138
6730;23210;260;8510;1020;2630;;611,34;23947,54;397,06;9803,34;1137,22;2733,38
10350;23070;990;10540;1020;2780;;-48,03955819;2,822758614;-33,72734608;-12,01118009;10,29790661;-0,043493655
5630;22990;510;15870;1040;2930;;;;;;;
6560;23170;1160;14760;1020;2800;;;;;;;
7010;23130;1660;10360;970;2730;;;;;;;
11300;22940;990;15930;940;2380;;;;;;;
6620;23090;670;9790;940;2360;;;;;;;
4480;23230;230;8870;960;2330;;;;;;;
3760;23010;250;20390;910;2400;;;;;;;
5320;22950;130;9380;1030;2780;;;;;;;
1800;22740;10;9630;1000;2690;;;;;;;
2110;23080;1440;15260;1040;2300;;;;;;;
1170;23070;1890;8810;1010;2550;;;;;;;
3660;23280;490;8440;1060;2630;;;;;;;
1810;24100;50;11260;1040;2770;;;;;;;
2390;23620;250;9550;1010;2880;;;;;;;
2250;22980;1200;10650;1210;2940;;;;;;;
1420;22990;180;14080;1010;2790;;;;;;;
1170;23100;100;16120;970;2880;;;;;;;
340;23190;530;12830;1000;2620;;;;;;;
790;23130;1090;11360;1010;2570;;;;;;;
840;22950;1350;14870;1050;2810;;;;;;;
450;23020;1670;12020;1020;2500;;;;;;;
820;22950;850;12030;1150;2120;;;;;;;
840;22720;430;13750;1020;2560;;;;;;;
2150;22980;320;14630;1000;3040;;;;;;;
1720;22960;400;7260;960;2690;;;;;;;
1520;23140;670;12900;880;2750;;;;;;;
1100;23050;1120;9650;940;2910;;;;;;;
1020;23140;610;13180;960;2740;;;;;;;
740;22990;110;17500;1010;2430;;;;;;;
1830;22940;1130;12110;1000;2650;;;;;;;
1420;23110;1480;10440;1030;2560;;;;;;;
2030;24880;340;8380;1000;2660;;;;;;;
1470;22640;80;12990;1010;3040;;;;;;;
1040;23000;1150;19110;1020;2820;;;;;;;
950;23070;160;9170;1010;2780;;;;;;;
140;22970;100;9220;1030;2880;;;;;;;
1860;23590;1260;9010;1010;2380;;;;;;;
730;22950;650;8040;1080;2590;;;;;;;
1290;22980;360;9700;1030;2880;;;;;;;
690;23410;320;14710;1000;2770;;;;;;;
830;23040;220;9700;1000;2650;;;;;;;
1320;23040;580;13330;1000;2620;;;;;;;
400;22780;1140;18090;1030;2310;;;;;;;
910;22760;80;10660;1010;2230;;;;;;;
510;23050;530;13030;980;2310;;;;;;;
190;23100;1260;11430;960;2700;;;;;;;
1780;23280;870;8800;1000;2480;;;;;;;
670;22750;400;14320;950;2600;;;;;;;
730;22950;120;5910;960;2760;;;;;;;
250;23370;1380;5790;880;2430;;;;;;;
870;22820;1080;11920;950;3240;;;;;;;
980;22880;670;13740;1000;2740;;;;;;;
1080;23030;650;8840;1030;3020;;;;;;;
